have you all come from 47
have you all come here 57
have you and your love 42
have you and your poor 73
have you and your wife 496
have you any good news 82
have you any hood silk 43
have you any more silk 40
have you any news from 124
have you any other name 73
have you cut your hair 71
have you fix your eyes 47
have you for acting like 49
have you for making such 40
have you get thick caps 79
have you got back there 98
have you got down there 449
have you got into your 633
have you got over there 201
have you got over your 115
have you got your chop 104
have you had during your 86
have you had from your 56
have you had your fill 195
have you not been able 313
have you not been here 95
have you not been lain 57
have you not been reading 41
have you not been there 105
have you not been told 146
have you not been well 41
have you not come back 66
have you not come from 40
have you not done more 51
have you not done your 49
have you not heard from 84
have you not heard what 438
have you not just told 64
have you not kept your 71
have you not lost your 50
have you not made your 56
have you not paid your 93
have you not seen good 52
have you not seen some 41
have you not seen what 47
have you not seen your 43
have you put into your 47
have you put your foot 44
have you put your hand 51
have you run away from 234
have you set your heart 127
have you too gone over 51
have you two been dating 83
have you two been here 60
have you two been hiding 46
have you two been seeing 75
having all her life been 56
having all his life been 163
having all his work done 43
having all that time been 42
having all that time gone 80
having all this time been 106
having cut his hand open 49
having cut off their hair 68
having cut off their heads 85
having fed for some time 45
having few but very great 44
having for ten years next 121
having god for their lord 112
having got him back among 47
having got his body into 72
having had any news from 95
having had for many years 169
having had for some time 186
having had for some years 40
having had one good feast 77
having had too much wine 61
having his head laid open 81
having led him away from 43
having led him into such 43
having led his army into 46
having led them away from 52
having led them into such 53
having let his beard grow 74
having let them slip from 80
having met all these four 53
having met her only once 114
having met him only once 136
having met him some years 58
having met this least among 61
having met with foul play 49
having met with some great 43
having met with very great 53
having not now heard from 66
having not yet been able 70
having not yet been done 42
having not yet come into 110
having now for nine years 43
having now for some time 50
having now for some years 52
having now they were tied 55
having one day gone into 53
having put all their eggs 41
having put his army into 78
having put his feet upon 49
having put his finger into 41
having put his hand into 51
having put his hand upon 49
having put his name down 40
having read any book from 71
having read for some time 41
having read her mind well 45
having read that gray eyes 168
having run for some time 49
having sat for some time 67
having set her heart upon 175
having set her more upon 66
having set his foot upon 53
having set his heart upon 185
having set out early from 114
having set out from rome 62
having sex and making love 556
having sex with other boys 75
having sex with other guys 76
having sex with young boys 105
having sex with your wife 159
having sung all their life 184
having ten and your having 108
having them all come true 69
having them and their life 40
having things too much their 55
having this day been made 77
having this day come into 49
having two and even three 42
having you for ever mine 99
hawk that has just seen 56
heading for new york city 248
heads all they have done 64
heads and all their wits 50
heads and wear felt hats 41
heads being set upon their 49
heads for new york city 147
heads may hit upon some 80
heads than his have been 51
heads that they have been 44
heads that they were only 40
healing all that were sick 86
healing does not come from 89
health and for health care 42
health and her life must 173
health and long life have 40
health and long life were 108
health and long term care 251
health and may even have 40
health and then only during 94
health did not break down 121
health does not break down 139
health does not come from 74
health for any other kind 40
health for new york city 78
health had for many years 48
health had for some time 1022
health had for some years 134
health had long been giving 56
health had long been poor 73
health had long been very 42
health had not been good 1539
health had not been very 151
health has for many years 41
health has for some time 286
health has not been good 827
health has not been very 298
health has not been well 100
health may not have been 116
health not being very good 103
health than any other single 93
health than for many years 147
health than for some time 94
health than for some years 40
health than for years past 180
health that has been lost 64
health was far from good 719
health was not good during 104
health was not good when 63
health was not very firm 47
health was not very good 1071
heard all his life from 45
heard all they were saying 43
heard all this from your 53
heard all you have been 46
heard all you have said 124
heard and are best worth 43
heard and saw nothing more 245
heard any day among these 131
heard any one else speak 67
heard any one speak like 51
heard any one speak more 81
heard any one talk like 87
heard any one talk more 137
heard but one kind word 53
heard did not come from 171
heard far and wide over 177
heard for that time only 87
heard had not come from 66
heard her car door slam 128
heard her car pull into 47
heard her own heart beating 163
heard her real name from 58
heard hid hit held hurt 84
heard him and came back 40
heard him and came down 136
heard him and came into 49
heard him and came over 112
heard him and have been 398
heard him and knew what 54
heard him for some time 493
heard him say afar there 357
heard him say there were 96
heard him say those very 87
heard him say your name 45
